inv_t4_d000420000Traces.dat,-0.7394221,10.9535342,3.0177242,1.2573628,0.9116159,0.4856111,0.8751655,1.3512091,0.781454,-0.0084076,0.95159,1.8441286,-0.7798893,-0.0003129,1.8536142,0.956226,0.0005249,3.2e-06
inv_t4_d000440000Traces.dat,-0.7135631,10.9257402,4.0,1.4888657,0.996867,1.2180529,0.9324159,0.9562234,0.8868114,0.2975103,1.1422833,1.4911052,-0.8824892,0.0001567,1.5046818,1.1473772,0.0009009,1.06e-05
inv_t4_d000460000Traces.dat,-0.809916,10.6945924,4.0,2.1874993,0.9105431,1.9730721,1.1325322,1.8024646,1.097074,1.0333913,1.5607565,1.7586807,-1.0166065,0.0694187,1.9361495,1.6386416,0.0013092,4.85e-05
inv_t4_d000462000Traces.dat,-0.8071537,10.7029702,4.0,2.6679179,0.8986353,2.0183208,1.1327822,2.1999389,0.9875957,1.0136118,1.7904785,0.88532,-0.8913242,0.0959541,1.110359,2.0079981,0.0013204,7.7e-05
inv_t4_d000464000Traces.dat,-0.8125139,10.6881181,4.0,2.8539321,0.8746776,2.0956988,1.1928454,2.4556199,0.9594353,1.0835184,1.8599268,0.8053386,-0.8439434,0.1286198,1.0717914,2.1964495,0.0013317,7.87e-05
inv_t4_d000466000Traces.dat,-0.8141522,10.6814865,4.0,3.0590046,0.8554258,2.1734574,1.2488964,2.7858008,0.9426369,1.1338695,1.9194444,0.7559795,-0.8058214,0.1660021,1.0715426,2.3536384,0.0013525,8.5e-05
inv_t4_d000468000Traces.dat,-0.8474769,10.5447444,4.0,1.0615381,0.8579054,2.5163815,1.2872508,1.092458,0.9278396,1.3089906,1.9539691,0.7141293,-0.7680163,0.2101403,1.0863122,2.498135,0.0017585,0.000104
inv_t4_d000470000Traces.dat,-0.8546466,10.5200561,3.9651153,0.7847373,0.8660395,2.6607507,1.2246705,0.9027144,0.914415,1.3691913,1.9604734,0.6739899,-0.7302022,0.26216,1.1086152,2.6532622,0.001739,0.0001439
inv_t4_d000472000Traces.dat,-0.8650514,10.4960895,3.8494067,0.5953344,0.8726864,2.7961129,1.1498483,0.7726513,0.9030585,1.4261431,1.9423786,0.6348373,-0.6932597,0.3226079,1.1369243,2.847666,0.0016419,0.0002057
inv_t4_d000474000Traces.dat,-0.8763163,10.47613,3.7435502,0.4953309,0.8793237,2.9121938,1.0836692,0.7001819,1.0929642,2.0410447,1.4924232,1.9395405,-0.9357009,0.4124528,1.8611156,1.8935049,0.001484,0.0001414
inv_t4_d000476000Traces.dat,-0.888214,10.4590534,3.6455841,0.4421249,0.886543,3.0155086,1.0343926,0.6560275,1.0694154,2.1076672,1.5101339,1.9685416,-0.8998637,0.4927245,1.8566819,2.0403433,0.0012928,0.000174
