inv_t4_u000440000Traces.dat : 1.2970674,3.2128555999999993,-1.1745024,10.3931283,1.3171165,12.524265,-1.0108189,14.6688025,0.0189244,0.0108776
inv_t4_u000440100Traces.dat : 1.2973953,3.216735,-1.1747128,10.3925379,1.3168314,12.5242607,-1.010912,14.6772677,0.0189228,0.0109059
inv_t4_u000440200Traces.dat : 1.2977223,3.2206147000000005,-1.1749247,10.3919436,1.3165831,12.5242259,-1.0109969,14.6856928,0.0189211,0.0109362
inv_t4_u000440300Traces.dat : 1.2980502,3.2244826999999994,-1.1751417,10.3913507,1.3162998,12.5241691,-1.0110777,14.6941192,0.0189193,0.0109637
inv_t4_u000440400Traces.dat : 1.2983786,3.228348800000001,-1.1753538,10.3907583,1.31607,12.5241292,-1.0111854,14.7025266,0.0189173,0.0109928
inv_t4_u000440500Traces.dat : 1.2987099,3.232209600000001,-1.1755694,10.3901677,1.3158222,12.5240483,-1.0112681,14.7109135,0.0189153,0.0110203
inv_t4_u000440600Traces.dat : 1.2990403,3.2360635,-1.1757843,10.3895803,1.3155925,12.5239787,-1.0113863,14.7192906,0.0189131,0.0110511
inv_t4_u000440700Traces.dat : 1.299372,3.2399123000000003,-1.1759964,10.3889921,1.3153402,12.5238951,-1.0115008,14.7276656,0.0189112,0.0110757
inv_t4_u000440800Traces.dat : 1.2997113,3.243754599999999,-1.1762134,10.388407,1.3151028,12.5237639,-1.0115887,14.7360094,0.0189086,0.0111025
inv_t4_u000440900Traces.dat : 1.300042,3.247592600000001,-1.1764306,10.3878189,1.3149079,12.5236548,-1.0117165,14.7443287,0.0189063,0.011131
inv_t4_u000441000Traces.dat : 1.3003786,3.2514248000000006,-1.1766447,10.3872346,1.3146904,12.5235224,-1.0118315,14.7526471,0.0189039,0.0111578
inv_t4_u000442000Traces.dat : 1.303789,3.2894349,-1.1788358,10.381436,1.3129402,12.5214914,-1.0131574,14.8349613,0.0188759,0.0114077
inv_t4_u000443000Traces.dat : 1.3072796,3.3268945,-1.1810793,10.375727,1.3118793,12.5182832,-1.0147751,14.9157458,0.0188409,0.0116267
inv_t4_u000444000Traces.dat : 1.3108618,3.3637908000000003,-1.1833532,10.3701236,1.311505,12.5140455,-1.0167239,14.9950201,0.0187994,0.011816
inv_t4_u000445000Traces.dat : 1.3145156,3.4001284,-1.1856674,10.3646217,1.3117545,12.5089137,-1.0190322,15.0728383,0.0187516,0.0119729
inv_t4_u000446000Traces.dat : 1.3182224,3.4358936,-1.1880099,10.3592241,1.3127302,12.5029063,-1.0215825,15.1491139,0.018699,0.0120984
inv_t4_u000447000Traces.dat : 1.3219898,3.4710987000000006,-1.1903833,10.3539274,1.3142862,12.496236,-1.024523,15.2239357,0.0186409,0.0121939
inv_t4_u000448000Traces.dat : 1.3258035,3.505736500000001,-1.1927683,10.348742,1.3164185,12.4889577,-1.0278109,15.2972913,0.0185786,0.0122584
inv_t4_u000449000Traces.dat : 1.3296508,3.539814099999999,-1.1951656,10.3436619,1.3191257,12.481168,-1.0314445,15.369171,0.0185118,0.0122915
inv_t4_u000450000Traces.dat : 1.3335277,3.5733325999999987,-1.197573,10.3386907,1.3224562,12.472877,-1.0353129,15.4395455,0.0184419,0.0122967
inv_t4_u000451000Traces.dat : 1.337431,3.6062896999999996,-1.1999907,10.3338332,1.3262765,12.4642449,-1.0395502,15.508452,0.0183686,0.0122749
inv_t4_u000452000Traces.dat : 1.3413454,3.6386923000000007,-1.2024043,10.3290847,1.3306214,12.4552919,-1.0440696,15.5758589,0.0182926,0.0122265
inv_t4_u000453000Traces.dat : 1.3452672,3.6705534999999987,-1.2048121,10.3244462,1.3353826,12.4460951,-1.0488872,15.6417868,0.0182146,0.0121485
inv_t4_u000454000Traces.dat : 1.3491888,3.7018676,-1.2072088,10.3199198,1.3406613,12.4367003,-1.0539655,15.706193,0.0181343,0.0120558
inv_t4_u000455000Traces.dat : 1.3531065,3.7326490000000003,-1.2095924,10.3155027,1.3462922,12.4271828,-1.059329,15.7691115,0.0180526,0.0119373
inv_t4_u000456000Traces.dat : 1.3570135,3.7629012,-1.2119639,10.3111964,1.3523511,12.4175786,-1.0649411,15.8304939,0.0179702,0.011807
inv_t4_u000457000Traces.dat : 1.3609032,3.7926342999999996,-1.2143117,10.3070021,1.358692,12.4079093,-1.070777,15.8903776,0.0178868,0.0116573
inv_t4_u000458000Traces.dat : 1.3647698,3.8218539000000007,-1.2166398,10.3029136,1.3654012,12.3982351,-1.0767885,15.948732,0.0178029,0.011498
inv_t4_u000459000Traces.dat : 1.3686133,3.8505847000000006,-1.2189404,10.2989316,1.3724008,12.38858,-1.0829669,16.005565,0.0177183,0.0113317
inv_t4_u000460000Traces.dat : 1.3724261,3.8788145000000007,-1.2212144,10.2950558,1.3795935,12.37899,-1.0893255,16.0608643,0.0176341,0.0111599
inv_t4_u000465000Traces.dat : 1.3909551,4.012964500000001,-1.2321058,10.2772334,1.4180119,12.3328051,-1.1223709,16.3143222,0.0172196,0.010391
inv_t4_u000470000Traces.dat : 1.4083587,4.1364584,-1.2420825,10.2618285,1.4571273,12.291181,-1.154574,16.53028,0.0168309,0.010046
inv_t4_u000475000Traces.dat : 1.4245754,4.250783800000001,-1.2509665,10.2487076,1.4932864,12.2554625,-1.1828899,16.7122723,0.0164789,0.0102584
inv_t4_u000480000Traces.dat : 1.4394938,4.357024000000001,-1.2589499,10.2373953,1.5245379,12.2253584,-1.2060043,16.8657224,0.0161691,0.0108455
