inv_t4_u000400000Traces.dat,1.2057527,10.6056851,-1.3119736,1.3822092,-1.4609219,0.986075,1.4263437,0.0279205,0.0096289,0.0001884
inv_t4_u000402000Traces.dat,1.1947681,10.6043598,-1.3031394,1.4740977,-1.47307,1.0584953,1.4261827,0.0426461,0.0102002,0.0002288
inv_t4_u000404000Traces.dat,1.1851045,10.6011457,-1.295098,1.5676005,-1.4764178,1.1353381,1.4142156,0.0630578,0.0107612,0.0002722
inv_t4_u000406000Traces.dat,1.1770555,10.5955154,-1.2878203,1.6623923,-1.4735908,1.2133461,1.3927546,0.0906747,0.0113061,0.0003165
inv_t4_u000408000Traces.dat,1.1702925,10.5882278,-1.2814072,1.7581975,-1.4670017,1.2914849,1.3640893,0.1272001,0.0118314,0.0003597
inv_t4_u000410000Traces.dat,1.164844,10.579318,-1.2758596,1.8547443,-1.4589074,1.37005,1.3305057,0.1744437,0.0123333,0.0004046
inv_t4_u000412000Traces.dat,1.1603477,10.5694873,-1.2712792,1.951681,-1.4501763,1.4477029,1.2933817,0.234078,0.0128087,0.0004691
inv_t4_u000414000Traces.dat,1.1568682,10.558687,-1.2676301,2.0487413,-1.4409968,1.523065,1.253827,0.3072047,0.0132544,0.0006024
inv_t4_u000416000Traces.dat,1.1541947,10.5473264,-1.2649673,2.145603,-1.4312292,1.5944132,1.2132762,0.3939076,0.0136676,0.0008581
inv_t4_u000418000Traces.dat,1.152517,10.5351365,-1.2631969,2.2420478,-1.4214396,1.6610029,1.1736864,0.4937729,0.0140463,0.0012566
inv_t4_u000420000Traces.dat,1.1516306,10.5224917,-1.2623543,2.3377774,-1.4120679,1.7230026,1.1367774,0.6058129,0.0143886,0.0017869
inv_t4_u000422000Traces.dat,1.1514738,10.5095245,-1.2624202,2.4325525,-1.4033221,1.7808264,1.1037102,0.7290733,0.0146937,0.0024287
inv_t4_u000424000Traces.dat,1.1521818,10.496017,-1.2633015,2.5260992,-1.3949934,1.8360934,1.0757168,0.862599,0.0149602,0.0031605
inv_t4_u000426000Traces.dat,1.1533267,10.4827395,-1.265075,2.6182993,-1.3865222,1.8889553,1.0531659,1.0050258,0.0151883,0.0039524
inv_t4_u000428000Traces.dat,1.1550403,10.4694431,-1.2676438,2.708937,-1.3772693,1.9394584,1.0361569,1.1551599,0.015378,0.0047803
inv_t4_u000430000Traces.dat,1.1572935,10.4561876,-1.2709506,2.7978251,-1.366837,1.9867943,1.0243243,1.311601,0.0155304,0.005613
inv_t4_u000431000Traces.dat,1.1585653,10.4496391,-1.2728949,2.8416263,-1.3612015,2.0087567,1.0200396,1.3918463,0.0155919,0.0060228
inv_t4_u000432000Traces.dat,1.1599729,10.4431056,-1.2749903,2.8849251,-1.3554436,2.0292915,1.0166732,1.4731216,0.0156448,0.0064245
inv_t4_u000433000Traces.dat,1.161485,10.4366248,-1.2772483,2.9277301,-1.3495882,2.0483211,1.0141665,1.5553114,0.015689,0.0068151
inv_t4_u000434000Traces.dat,1.1630939,10.4302019,-1.2796673,2.9700341,-1.343812,2.0655588,1.0122939,1.6382878,0.0157243,0.0071928
inv_t4_u000435000Traces.dat,1.1648171,10.4238414,-1.2822236,3.0118053,-1.3382487,2.0810206,1.0110246,1.7218306,0.0157522,0.0075539
inv_t4_u000436000Traces.dat,1.1665875,10.4175425,-1.2849433,3.0531023,-1.3329936,2.0946235,1.0102316,1.8059464,0.0157705,0.0078985
inv_t4_u000437000Traces.dat,1.1684573,10.411319,-1.2877908,3.0938503,-1.3281955,2.1063477,1.0098415,1.8903714,0.0157815,0.0082224
inv_t4_u000438000Traces.dat,1.1704099,10.405168,-1.2907638,3.1340641,-1.3238969,2.1163005,1.009832,1.9750312,0.015785,0.0085261
inv_t4_u000439000Traces.dat,1.1724238,10.3991047,-1.2938595,3.1737331,-1.3201582,2.1245398,1.0101754,2.0598031,0.0157812,0.0088057
inv_t4_u000439100Traces.dat,1.172628,10.3985045,-1.2941767,3.1776693,-1.3198476,2.1252673,1.0102297,2.0682634,0.0157804,0.0088343
inv_t4_u000439200Traces.dat,1.1728343,10.3979036,-1.2944934,3.1816006,-1.3194941,2.1259818,1.0102775,2.0767571,0.0157795,0.0088595
inv_t4_u000439300Traces.dat,1.1730394,10.3973036,-1.2948127,3.1855272,-1.3192055,2.1266537,1.0103123,2.0852267,0.0157787,0.0088866
inv_t4_u000439400Traces.dat,1.173247,10.3967046,-1.2951311,3.189449,-1.318876,2.1273542,1.0103886,2.0937013,0.0157777,0.0089131
inv_t4_u000439500Traces.dat,1.1734563,10.3961053,-1.2954489,3.1933619,-1.3185629,2.1280352,1.0104639,2.1021731,0.0157766,0.0089393
inv_t4_u000439600Traces.dat,1.1736633,10.3955103,-1.295773,3.1972706,-1.3182849,2.1286649,1.0105118,2.1106422,0.0157756,0.0089649
inv_t4_u000439700Traces.dat,1.1738742,10.394911,-1.2960912,3.2011755,-1.3179796,2.1293036,1.0105805,2.1191222,0.0157744,0.0089903
inv_t4_u000439800Traces.dat,1.1740824,10.3943182,-1.2964185,3.2050735,-1.3176818,2.1299465,1.01068,2.1275852,0.0157732,0.0090157
inv_t4_u000439900Traces.dat,1.1742974,10.3937208,-1.2967416,3.2089655,-1.3173758,2.1305568,1.0107535,2.1360664,0.0157718,0.0090396
inv_t4_u000440000Traces.dat,1.174504,10.3931278,-1.2970677,3.2128553,-1.3170969,2.1311528,1.0108355,2.144539,0.0157706,0.0090642
